# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S0"	"LabCeroMin"	0	0	4	2	0	2	2	1	3	238.439765652213	1.8001323751919	13.3975418633781	4.53249633333333
2	"P4082W"	"S0"	"AgrCons"	1	1	4	1	0	2	2	2	1	252.292029083017	53.5322340919916	55.9013558900915	4.43342366666667
3	"OTRAS"	"S0"	"LabConvTra"	4	1	1	0	3	1	2	1	3	104.007884767978	96.2474054179341	66.8740678578615	3.63821164285714
4	"CRIOLLO"	"S1"	"LabConvTra"	0	2	1	1	3	1	1	3	0	94.8752955179848	112.327180232536	40.3386533260345	3.5644435
5	"OTRAS"	"S1"	"LabConvTra"	4	1	0	1	0	0	3	3	0	52.1159256403893	150.375461385786	32.3478886624798	3.43632983333333
6	"DEKAL"	"S0"	"LabCeroMin"	0	0	4	2	0	2	2	1	3	238.439765652213	1.8001323751919	13.3975418633781	4.53249633333333
7	"DEKAL"	"S1"	"AgrCons"	1	0	4	2	0	1	1	2	3	94.8752955179848	112.327180232536	66.8740678578615	4.76545166666666
8	"DEKAL"	"S1"	"AgrCons"	1	0	4	2	0	1	1	2	3	94.8752955179848	112.327180232536	66.8740678578615	4.76545166666666
9	"DEKAL"	"S1"	"AgrCons"	0	1	4	0	0	1	1	2	3	238.439765652213	112.327180232536	13.3975418633781	4.93033666666666
10	"DEKAL"	"S1"	"AgrCons"	0	1	4	0	0	1	1	2	3	238.439765652213	112.327180232536	13.3975418633781	4.93033666666666
11	"DEKAL"	"S1"	"AgrCons"	0	1	3	1	0	1	1	2	3	238.439765652213	112.327180232536	13.3975418633781	4.93649233333333
12	"DEKAL"	"S1"	"AgrCons"	0	1	3	1	0	1	1	2	3	238.439765652213	112.327180232536	13.3975418633781	4.93649233333333
13	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
14	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
15	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
16	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
17	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
18	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
19	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
20	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
21	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
22	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
23	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
24	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
25	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
26	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
27	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	1	2	3	238.439765652213	112.327180232536	66.8740678578615	5.011843
28	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	0	2	3	238.439765652213	112.327180232536	66.8740678578615	5.01463466666666
29	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	0	2	3	238.439765652213	112.327180232536	66.8740678578615	5.01463466666666
30	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	0	1	0	2	3	238.439765652213	112.327180232536	66.8740678578615	5.01463466666666
