# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S1"	"AgrCons"	4	0	1	0	1	0	1	1	4	179.324412299385	158.243225321379	84.2544404324144	5.07065038095238
2	"OTRAS"	"S1"	"LabCeroMin"	3	2	2	1	2	1	3	2	4	175.068409879431	54.2362744518416	31.0962245450355	4.75227485714285
3	"OTRAS"	"S1"	"AgrCons"	4	1	1	0	3	2	2	1	1	146.716853487715	155.916487594452	64.7842238307931	4.40974638095238
4	"CRIOLLO"	"S0"	"LabCeroMin"	4	0	2	2	0	0	1	2	3	59.5558602283988	75.2765878536226	101.130897214171	3.66237285714285
5	"OTRAS"	"S1"	"LabConvTra"	4	1	2	2	1	1	3	0	0	36.6380105859041	134.155470227026	101.633148570545	3.52139204761905
6	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	1	2	2	4	181.225693086404	155.916487594452	101.633148570545	5.23786238095238
7	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	1	2	2	4	181.225693086404	155.916487594452	101.633148570545	5.23786238095238
8	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	1	2	2	4	181.225693086404	155.916487594452	101.633148570545	5.23786238095238
9	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	1	2	2	4	181.225693086404	155.916487594452	101.633148570545	5.23786238095238
10	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	1	2	2	4	181.225693086404	155.916487594452	101.633148570545	5.23786238095238
11	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	1	2	2	4	181.225693086404	155.916487594452	101.633148570545	5.23786238095238
12	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	1	2	2	4	181.225693086404	155.916487594452	101.633148570545	5.23786238095238
13	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	1	2	2	4	181.225693086404	155.916487594452	101.633148570545	5.23786238095238
14	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	0	1	2	4	181.225693086404	158.243225321379	101.633148570545	5.24324104761904
15	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	0	1	2	4	181.225693086404	158.243225321379	101.633148570545	5.24324104761904
16	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	0	1	2	4	181.225693086404	158.243225321379	101.633148570545	5.24324104761904
17	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	1	0	1	2	4	181.225693086404	158.243225321379	101.633148570545	5.24324104761904
18	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	2	2	1	2	4	181.225693086404	158.243225321379	101.633148570545	5.36594104761904
19	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	2	2	1	2	4	181.225693086404	158.243225321379	101.633148570545	5.36594104761904
20	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	2	2	1	2	4	181.225693086404	158.243225321379	101.633148570545	5.36594104761904
21	"DEKAL"	"S1"	"AgrCons"	4	0	2	0	2	2	1	2	4	181.225693086404	158.243225321379	101.633148570545	5.36594104761904
22	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	2	2	2	4	181.225693086404	158.243225321379	101.633148570545	5.41069538095238
23	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	2	2	2	4	181.225693086404	158.243225321379	101.633148570545	5.41069538095238
24	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	2	2	2	4	181.225693086404	158.243225321379	101.633148570545	5.41069538095238
25	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	2	2	2	4	181.225693086404	158.243225321379	101.633148570545	5.41069538095238
26	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	2	2	2	4	181.225693086404	158.243225321379	101.633148570545	5.41069538095238
27	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	1	3	2	4	181.225693086404	158.243225321379	101.633148570545	5.41387871428571
28	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	1	3	2	4	181.225693086404	158.243225321379	101.633148570545	5.41387871428571
29	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	1	3	2	4	181.225693086404	158.243225321379	101.633148570545	5.41387871428571
30	"DEKAL"	"S1"	"AgrCons"	4	2	2	2	2	1	3	2	4	181.225693086404	158.243225321379	101.633148570545	5.41387871428571
