# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S0"	"LabCeroMin"	0	0	1	2	0	0	2	3	4	193.602331013242	93.2842551299836	98.5393747338094	4.66787038095238
2	"P4082W"	"S0"	"LabCeroMin"	4	0	1	1	0	1	1	2	2	15.1067650405038	42.8751202252367	133.744871139061	4.20873557142857
3	"OTRAS"	"S0"	"LabConvTra"	2	1	1	1	3	0	0	0	0	159.881483597672	136.683968147375	109.024346515071	3.51165238095238
4	"CRIOLLO"	"S1"	"AgrCons"	1	1	2	0	1	1	2	2	3	151.322547928235	135.399187143845	20.3635799582116	3.26047080952381
5	"CRIOLLO"	"S0"	"AgrCons"	4	1	0	2	2	0	1	1	0	250.095846095271	117.975874861218	136.68394231936	2.79094138095238
6	"DEKAL"	"S0"	"LabCeroMin"	0	0	1	2	0	0	2	3	4	193.602331013242	93.2842551299836	98.5393747338094	4.66787038095238
7	"DEKAL"	"S0"	"LabCeroMin"	0	0	1	2	0	0	2	3	4	193.602331013242	93.2842551299836	98.5393747338094	4.66787038095238
8	"DEKAL"	"S0"	"LabCeroMin"	0	0	1	2	0	0	2	3	4	193.602331013242	93.2842551299836	98.5393747338094	4.66787038095238
9	"DEKAL"	"S0"	"LabCeroMin"	0	0	1	2	0	0	2	3	4	193.602331013242	93.2842551299836	98.5393747338094	4.66787038095238
10	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	0	0	2	3	0	4	155.225105453236	80.2817530188709	98.5393747338094	4.77856238095238
11	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	0	0	2	3	0	4	155.225105453236	80.2817530188709	98.5393747338094	4.77856238095238
12	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	0	0	2	3	0	4	155.225105453236	80.2817530188709	98.5393747338094	4.77856238095238
13	"DEKAL"	"S1"	"LabCeroMin"	2	0	0	0	0	2	2	2	4	151.322547928235	80.2817530188709	98.5393747338094	4.80666357142857
14	"DEKAL"	"S1"	"LabCeroMin"	2	0	0	0	0	2	2	2	4	151.322547928235	80.2817530188709	98.5393747338094	4.80666357142857
15	"DEKAL"	"S1"	"LabCeroMin"	2	0	0	0	0	2	2	2	4	151.322547928235	80.2817530188709	98.5393747338094	4.80666357142857
16	"DEKAL"	"S1"	"LabCeroMin"	0	1	1	0	2	2	3	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.87601271428571
17	"DEKAL"	"S1"	"LabCeroMin"	0	1	1	0	2	2	3	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.87601271428571
18	"DEKAL"	"S1"	"LabCeroMin"	0	1	1	0	2	2	3	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.87601271428571
19	"DEKAL"	"S1"	"AgrCons"	0	1	0	0	0	2	3	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.87986638095238
20	"DEKAL"	"S1"	"AgrCons"	0	1	0	0	0	2	3	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.87986638095238
21	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	1	0	2	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.88182571428571
22	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	1	0	2	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.88182571428571
23	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	1	0	2	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.88182571428571
24	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	1	0	2	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.88182571428571
25	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	1	0	2	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.88182571428571
26	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	1	0	2	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.88182571428571
27	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	1	0	2	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.88182571428571
28	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	2	0	1	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.89608571428571
29	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	2	0	1	1	2	4	155.225105453236	80.2817530188709	98.5393747338094	4.89608571428571
30	"DEKAL"	"S1"	"LabCeroMin"	0	1	0	0	0	1	1	2	4	155.225105453236	113.821891304613	98.5393747338094	4.90847404761904
