# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S1"	"LabConvTra"	1	2	0	1	1	1	2	2	3	38.2016183498874	113.764320434411	6.13249645102769	4.361603
2	"P4082W"	"S0"	"LabConvTra"	4	1	2	2	0	0	1	3	1	134.670909307124	126.320572845046	107.082512613852	3.994747
3	"OTRAS"	"S0"	"LabConvTra"	2	0	2	0	3	1	2	2	2	178.729974071821	73.0205524627399	45.6634671776555	3.82983614285714
4	"CRIOLLO"	"S1"	"AgrCons"	1	1	2	0	3	2	0	3	0	130.82345174225	61.271144084353	110.858209768776	3.55415366666667
5	"CRIOLLO"	"S0"	"LabCeroMin"	0	1	2	2	2	1	3	0	1	68.2056450687442	70.2065442446061	50.286043190863	3.246672
6	"DEKAL"	"S1"	"LabConvTra"	1	2	0	1	1	1	2	2	3	38.2016183498874	113.764320434411	6.13249645102769	4.361603
7	"DEKAL"	"S1"	"LabConvTra"	1	2	0	1	1	1	2	2	3	38.2016183498874	113.764320434411	6.13249645102769	4.361603
8	"DEKAL"	"S1"	"LabConvTra"	2	2	0	1	0	1	1	2	3	178.729974071821	113.764320434411	45.6634671776555	4.548285
9	"DEKAL"	"S1"	"LabConvTra"	2	2	0	1	0	1	1	2	3	178.729974071821	113.764320434411	45.6634671776555	4.548285
10	"DEKAL"	"S1"	"LabConvTra"	2	2	0	1	0	1	1	2	3	178.729974071821	113.764320434411	45.6634671776555	4.548285
11	"DEKAL"	"S1"	"LabConvTra"	2	1	3	2	0	1	1	2	3	151.078330846513	61.271144084353	6.13249645102769	4.589347
12	"DEKAL"	"S1"	"LabConvTra"	2	1	3	2	0	1	1	2	3	151.078330846513	61.271144084353	6.13249645102769	4.589347
13	"DEKAL"	"S1"	"LabConvTra"	2	1	3	2	0	1	1	2	3	151.078330846513	61.271144084353	6.13249645102769	4.589347
14	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	2	2	3	178.729974071821	113.764320434411	143.923101446126	4.62740266666667
15	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	2	2	3	178.729974071821	113.764320434411	143.923101446126	4.62740266666667
16	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	2	2	3	178.729974071821	113.764320434411	143.923101446126	4.62740266666667
17	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
18	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
19	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
20	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
21	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
22	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
23	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
24	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
25	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
26	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
27	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
28	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
29	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
30	"DEKAL"	"S1"	"AgrCons"	2	2	3	2	0	1	1	2	3	140.417640827289	113.764320434411	64.2519956105389	4.732371
