# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"OTRAS"	"S1"	"LabCeroMin"	4	1	4	0	3	2	1	1	3	169.782440638645	139.551430177917	83.7898600031622	4.60476847619048
2	"P4082W"	"S1"	"LabCeroMin"	1	0	0	1	0	0	2	3	4	94.7666251318064	65.7289331236109	13.4596396819688	4.59768085714286
3	"P4082W"	"S1"	"LabConvTra"	1	1	4	2	1	1	1	2	1	116.620841635438	122.765811366085	70.0030432431959	4.55200023809524
4	"OTRAS"	"S1"	"LabCeroMin"	0	1	0	1	2	0	2	1	4	207.943678074274	89.2003190426435	19.0942695946433	4.31926080952381
5	"CRIOLLO"	"S0"	"AgrCons"	4	1	1	0	3	1	2	1	4	212.1245968863	112.145044736206	45.1537453103811	3.66649314285714
6	"P4082W"	"S1"	"LabCeroMin"	0	1	3	1	3	0	1	1	1	169.782440638645	139.551430177917	19.0942695946433	4.75512166666667
7	"P4082W"	"S1"	"LabCeroMin"	0	1	3	1	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11660866666667
8	"P4082W"	"S1"	"LabCeroMin"	0	1	3	1	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11660866666667
9	"P4082W"	"S1"	"LabCeroMin"	0	1	3	1	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11660866666667
10	"P4082W"	"S1"	"LabCeroMin"	0	1	3	1	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11660866666667
11	"P4082W"	"S1"	"LabCeroMin"	0	1	3	1	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11660866666667
12	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11775866666667
13	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11775866666667
14	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11775866666667
15	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11775866666667
16	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11775866666667
17	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	0	1	1	4	169.782440638645	122.765811366085	19.0942695946433	5.11775866666667
18	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
19	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
20	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
21	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
22	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
23	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
24	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
25	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
26	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
27	"P4082W"	"S1"	"AgrCons"	0	1	4	2	0	0	0	1	4	169.782440638645	122.765811366085	19.0942695946433	5.17241542857143
28	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	1	0	1	4	244.489738786053	122.765811366085	19.0942695946433	5.33169580952381
29	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	1	0	1	4	244.489738786053	122.765811366085	19.0942695946433	5.33169580952381
30	"P4082W"	"S1"	"AgrCons"	0	1	4	2	3	1	0	1	4	244.489738786053	122.765811366085	19.0942695946433	5.33169580952381
