# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"P4082W"	"S1"	"AgrCons"	4	0	4	2	3	1	3	0	1	5.29761836948805	80.2240797578962	106.173787359148	4.21418
2	"OTRAS"	"S0"	"LabCeroMin"	2	0	0	2	1	0	3	0	3	251.119486997593	107.658912708978	67.9612170439214	3.69943247619047
3	"OTRAS"	"S0"	"AgrCons"	1	1	4	0	0	0	1	3	0	26.1459148326889	46.6066635339567	128.783354780171	3.56860666666667
4	"CRIOLLO"	"S1"	"AgrCons"	3	0	0	1	1	0	2	3	0	127.296796806874	159.268966715191	147.598768444732	3.557518
5	"CRIOLLO"	"S1"	"AgrCons"	2	0	0	0	0	1	0	2	1	21.304929277692	167.307833189606	131.930384819862	3.54672533333333
6	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	1	127.296796806874	94.7820310509484	131.930384819862	4.30350233333334
7	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	1	127.296796806874	94.7820310509484	131.930384819862	4.30350233333334
8	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	1	127.296796806874	94.7820310509484	131.930384819862	4.30350233333334
9	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	1	127.296796806874	94.7820310509484	131.930384819862	4.30350233333334
10	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	1	127.296796806874	94.7820310509484	131.930384819862	4.30350233333334
11	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
12	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
13	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
14	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
15	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
16	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
17	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
18	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
19	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
20	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
21	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
22	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	107.593849141728	131.930384819862	4.614865
23	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	94.7820310509484	25.3523901687004	4.63697766666667
24	"P4082W"	"S0"	"AgrCons"	4	0	0	2	3	1	3	3	3	127.296796806874	94.7820310509484	25.3523901687004	4.63697766666667
25	"P4082W"	"S1"	"AgrCons"	4	0	0	2	2	2	3	3	3	127.296796806874	148.41814530537	25.3523901687004	4.64374366666667
26	"P4082W"	"S1"	"AgrCons"	4	0	0	2	2	2	3	3	3	127.296796806874	148.41814530537	25.3523901687004	4.64374366666667
27	"P4082W"	"S1"	"AgrCons"	4	0	0	2	2	2	3	3	3	127.296796806874	148.41814530537	25.3523901687004	4.64374366666667
28	"P4082W"	"S1"	"AgrCons"	4	0	0	2	2	2	3	3	3	127.296796806874	148.41814530537	25.3523901687004	4.64374366666667
29	"P4082W"	"S1"	"AgrCons"	4	0	0	2	2	2	3	3	3	127.296796806874	148.41814530537	25.3523901687004	4.64374366666667
30	"P4082W"	"S1"	"AgrCons"	4	0	0	2	2	2	3	3	3	127.296796806874	148.41814530537	25.3523901687004	4.64374366666667
