# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S0"	"AgrCons"	3	2	2	0	1	0	0	2	3	11.0653565876745	102.996720692869	19.0374923287891	4.863063
2	"DEKAL"	"S0"	"AgrCons"	0	0	1	1	2	0	3	0	1	104.460089887623	69.2282031454472	47.735277924221	4.754713
3	"OTRAS"	"S1"	"LabCeroMin"	1	2	4	2	3	2	3	0	4	113.523484244728	91.7810906081786	134.776715165935	4.45655797619048
4	"OTRAS"	"S0"	"AgrCons"	0	2	2	2	2	1	2	0	2	146.185463479105	29.3312113661598	1.54615488136187	4.247024
5	"CRIOLLO"	"S0"	"LabConvTra"	4	1	4	2	0	1	0	3	1	174.197361183427	32.1315202054381	110.338222584687	3.94012533333333
6	"DEKAL"	"S0"	"AgrCons"	3	2	2	0	1	0	0	2	3	11.0653565876745	102.996720692869	19.0374923287891	4.863063
7	"DEKAL"	"S0"	"AgrCons"	3	2	2	0	1	0	0	2	3	11.0653565876745	102.996720692869	19.0374923287891	4.863063
8	"DEKAL"	"S0"	"AgrCons"	3	2	2	0	1	0	0	2	3	11.0653565876745	102.996720692869	19.0374923287891	4.863063
9	"DEKAL"	"S0"	"AgrCons"	3	2	2	0	1	0	0	2	3	11.0653565876745	102.996720692869	19.0374923287891	4.863063
10	"DEKAL"	"S0"	"AgrCons"	3	2	2	0	1	0	0	2	3	11.0653565876745	102.996720692869	19.0374923287891	4.863063
11	"DEKAL"	"S0"	"AgrCons"	3	2	2	0	1	0	0	2	3	11.0653565876745	102.996720692869	19.0374923287891	4.863063
12	"DEKAL"	"S0"	"AgrCons"	3	2	2	0	1	0	0	2	3	11.0653565876745	102.996720692869	19.0374923287891	4.863063
13	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	3	0	3	0	3	11.0653565876745	91.7810906081786	47.735277924221	4.94690533333333
14	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	3	0	3	0	3	11.0653565876745	91.7810906081786	47.735277924221	4.94690533333333
15	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	3	0	3	0	3	11.0653565876745	91.7810906081786	47.735277924221	4.94690533333333
16	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	3	0	3	0	3	11.0653565876745	91.7810906081786	47.735277924221	4.94690533333333
17	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	3	0	3	0	3	11.0653565876745	91.7810906081786	47.735277924221	4.94690533333333
18	"DEKAL"	"S1"	"AgrCons"	4	1	1	0	3	2	3	0	3	11.0653565876745	91.7810906081786	47.735277924221	4.970679
19	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	1	0	0	2	4	11.0653565876745	91.7810906081786	47.735277924221	5.08269333333333
20	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	1	0	0	2	4	11.0653565876745	91.7810906081786	47.735277924221	5.08269333333333
21	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	1	0	0	2	4	11.0653565876745	91.7810906081786	47.735277924221	5.08269333333333
22	"DEKAL"	"S1"	"AgrCons"	3	1	2	0	1	0	0	2	4	11.0653565876745	91.7810906081786	47.735277924221	5.08269333333333
23	"DEKAL"	"S1"	"AgrCons"	3	0	0	0	1	0	0	2	3	61.5164197916538	91.7810906081786	47.735277924221	5.09379033333333
24	"DEKAL"	"S1"	"AgrCons"	0	1	3	0	1	0	0	2	3	11.0653565876745	91.7810906081786	47.735277924221	5.20811833333333
25	"DEKAL"	"S1"	"AgrCons"	0	1	3	0	1	0	0	2	3	11.0653565876745	91.7810906081786	47.735277924221	5.20811833333333
26	"DEKAL"	"S1"	"AgrCons"	0	1	3	0	1	0	0	2	3	11.0653565876745	91.7810906081786	47.735277924221	5.20811833333333
27	"DEKAL"	"S1"	"AgrCons"	0	1	3	0	1	0	0	2	3	11.0653565876745	91.7810906081786	47.735277924221	5.20811833333333
28	"DEKAL"	"S1"	"AgrCons"	0	1	3	0	1	0	0	2	3	11.0653565876745	91.7810906081786	47.735277924221	5.20811833333333
29	"DEKAL"	"S1"	"AgrCons"	0	1	3	0	1	0	0	2	3	11.0653565876745	91.7810906081786	47.735277924221	5.20811833333333
30	"DEKAL"	"S1"	"AgrCons"	0	1	3	0	1	1	0	2	3	11.0653565876745	91.7810906081786	47.735277924221	5.224672
