# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"P4082W"	"S1"	"AgrCons"	4	1	4	1	2	2	3	2	4	188.926458959645	28.206688162866	84.0948178083636	5.02189
2	"DEKAL"	"S1"	"LabConvTra"	3	2	3	2	3	2	0	1	1	82.8175428932812	108.214914021399	88.0842508049682	4.74596233333333
3	"DEKAL"	"S0"	"AgrCons"	2	0	1	2	2	2	0	1	1	132.996545787808	72.4440235491237	94.4608213263564	4.648674
4	"OTRAS"	"S0"	"LabConvTra"	0	2	0	2	0	2	0	2	3	244.965118991416	154.340385506237	66.2501983344555	4.58951523809524
5	"DEKAL"	"S1"	"AgrCons"	4	0	0	0	3	0	3	0	0	198.128375236439	67.5751167437714	36.0144917853177	4.37979033333334
6	"DEKAL"	"S1"	"AgrCons"	4	1	4	2	3	2	1	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.05602
7	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
8	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
9	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
10	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
11	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
12	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
13	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
14	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
15	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
16	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
17	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
18	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
19	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
20	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
21	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
22	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
23	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	2	2	0	1	3	198.128375236439	72.4440235491237	94.4608213263564	5.31840476190476
24	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	3	2	0	1	3	198.128375236439	104.403106477447	94.4608213263564	5.41263276190476
25	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	3	2	0	1	3	198.128375236439	104.403106477447	94.4608213263564	5.41263276190476
26	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	3	2	0	1	3	198.128375236439	104.403106477447	94.4608213263564	5.41263276190476
27	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	3	2	0	1	3	198.128375236439	104.403106477447	94.4608213263564	5.41263276190476
28	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	3	2	0	1	3	198.128375236439	104.403106477447	94.4608213263564	5.41263276190476
29	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	3	2	0	1	3	198.128375236439	104.403106477447	94.4608213263564	5.41263276190476
30	"DEKAL"	"S1"	"AgrCons"	3	1	4	2	3	2	0	1	3	198.128375236439	104.403106477447	94.4608213263564	5.41263276190476
