# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	1	2	2	0	4	238.640587916439	67.9448767180182	11.4808617392555	3.93505814285714
2	"CRIOLLO"	"S1"	"LabConvTra"	4	2	1	2	3	0	1	2	1	198.2077637213	148.452903213939	16.5254672407173	3.511645
3	"CRIOLLO"	"S0"	"AgrCons"	4	1	2	0	1	1	2	0	3	243.423211554801	29.7679451568658	27.2081081522629	3.28294814285714
4	"CRIOLLO"	"S0"	"LabCeroMin"	1	0	0	0	0	1	1	1	4	109.823378930371	13.0889630584186	119.116374466103	3.17866614285714
5	"OTRAS"	"S1"	"AgrCons"	3	1	3	2	2	0	1	1	2	15.3979670199379	66.2147676917678	10.958272672724	3.17827080952381
6	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	1	2	2	0	4	238.640587916439	67.9448767180182	11.4808617392555	3.93505814285714
7	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	1	2	2	0	4	238.640587916439	67.9448767180182	11.4808617392555	3.93505814285714
8	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	1	2	2	0	4	238.640587916439	67.9448767180182	11.4808617392555	3.93505814285714
9	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	1	2	2	0	4	238.640587916439	67.9448767180182	11.4808617392555	3.93505814285714
10	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	1	2	2	0	4	238.640587916439	67.9448767180182	11.4808617392555	3.93505814285714
11	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	1	2	2	0	4	238.640587916439	67.9448767180182	11.4808617392555	3.93505814285714
12	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	2	0	1	0	4	198.2077637213	67.9448767180182	11.4808617392555	4.03253380952381
13	"OTRAS"	"S1"	"LabCeroMin"	2	0	4	1	2	0	1	0	4	198.2077637213	67.9448767180182	11.4808617392555	4.03253380952381
14	"OTRAS"	"S1"	"LabCeroMin"	2	2	2	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.09015847619048
15	"OTRAS"	"S1"	"LabCeroMin"	2	2	2	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.09015847619048
16	"OTRAS"	"S1"	"LabCeroMin"	2	2	2	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.09015847619048
17	"OTRAS"	"S1"	"LabCeroMin"	2	2	2	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.09015847619048
18	"OTRAS"	"S1"	"LabCeroMin"	2	2	2	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.09015847619048
19	"OTRAS"	"S1"	"LabCeroMin"	2	2	2	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.09015847619048
20	"OTRAS"	"S1"	"LabCeroMin"	2	2	4	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.22711014285714
21	"OTRAS"	"S1"	"LabCeroMin"	2	2	4	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.22711014285714
22	"OTRAS"	"S1"	"LabCeroMin"	2	2	4	1	2	2	1	0	4	198.2077637213	67.9448767180182	46.8864423804916	4.22711014285714
23	"P4082W"	"S1"	"LabCeroMin"	2	2	4	1	2	2	1	0	4	198.2077637213	151.387025657538	46.8864423804916	4.720444
24	"P4082W"	"S1"	"LabCeroMin"	2	2	4	1	2	2	1	0	4	198.2077637213	151.387025657538	46.8864423804916	4.720444
25	"P4082W"	"S1"	"LabCeroMin"	2	2	4	1	2	2	1	0	4	198.2077637213	151.387025657538	46.8864423804916	4.720444
26	"P4082W"	"S1"	"LabCeroMin"	2	2	4	1	2	2	1	0	4	198.2077637213	151.387025657538	46.8864423804916	4.720444
27	"P4082W"	"S1"	"AgrCons"	2	2	4	0	2	2	1	0	4	198.2077637213	151.387025657538	46.8864423804916	4.738776
28	"P4082W"	"S1"	"AgrCons"	2	2	4	0	2	2	1	0	4	198.2077637213	151.387025657538	46.8864423804916	4.738776
29	"P4082W"	"S1"	"AgrCons"	2	2	4	0	2	2	1	0	4	198.2077637213	151.387025657538	46.8864423804916	4.738776
30	"P4082W"	"S1"	"AgrCons"	2	2	4	0	2	2	1	0	4	198.2077637213	151.387025657538	46.8864423804916	4.738776
