# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	0	0	3	0	159.11291905039	15.909717489793	95.582544466015	4.435774
2	"DEKAL"	"S0"	"LabCeroMin"	0	1	4	1	0	2	1	1	2	98.222032352183	114.874797006594	0.819010112900287	4.28536366666667
3	"P4082W"	"S1"	"AgrCons"	0	0	0	1	0	0	2	0	1	133.673220661199	127.637823743471	31.2375632696785	4.21952166666667
4	"OTRAS"	"S1"	"LabConvTra"	3	2	1	2	3	1	1	1	3	163.423232400557	27.555157626369	148.688088229392	3.98392680952381
5	"CRIOLLO"	"S1"	"LabConvTra"	3	0	4	0	1	0	0	3	1	215.645254734419	59.263350358028	57.5137901119888	3.56865466666667
6	"DEKAL"	"S1"	"LabCeroMin"	0	2	1	1	1	0	0	3	0	159.11291905039	15.909717489793	95.582544466015	4.435774
7	"DEKAL"	"S1"	"AgrCons"	0	2	1	1	3	0	0	0	1	133.673220661199	127.637823743471	95.582544466015	4.53331733333333
8	"DEKAL"	"S1"	"AgrCons"	0	1	1	0	1	2	0	0	4	159.11291905039	114.874797006594	95.582544466015	4.802571
9	"DEKAL"	"S1"	"AgrCons"	0	1	1	0	1	2	0	0	4	159.11291905039	114.874797006594	95.582544466015	4.802571
10	"DEKAL"	"S1"	"AgrCons"	0	1	1	0	1	2	0	0	4	159.11291905039	114.874797006594	95.582544466015	4.802571
11	"DEKAL"	"S1"	"AgrCons"	0	1	1	0	1	2	0	0	4	159.11291905039	114.874797006594	95.582544466015	4.802571
12	"DEKAL"	"S1"	"AgrCons"	0	1	1	0	1	2	0	0	4	159.11291905039	114.874797006594	95.582544466015	4.802571
13	"DEKAL"	"S1"	"AgrCons"	0	1	1	0	1	2	0	0	4	159.11291905039	114.874797006594	95.582544466015	4.802571
14	"DEKAL"	"S0"	"AgrCons"	0	2	0	1	1	0	0	2	4	133.673220661199	127.637823743471	31.2375632696785	4.86478266666667
15	"DEKAL"	"S0"	"AgrCons"	0	1	0	1	3	0	0	2	4	133.673220661199	38.0819197180122	31.2375632696785	4.942064
16	"DEKAL"	"S0"	"AgrCons"	0	1	0	1	3	0	0	2	4	133.673220661199	38.0819197180122	31.2375632696785	4.942064
17	"DEKAL"	"S0"	"AgrCons"	0	1	0	1	3	0	0	2	4	133.673220661199	38.0819197180122	31.2375632696785	4.942064
18	"DEKAL"	"S0"	"AgrCons"	0	1	0	1	3	0	0	2	4	133.673220661199	38.0819197180122	31.2375632696785	4.942064
19	"DEKAL"	"S0"	"AgrCons"	0	1	0	1	3	0	0	2	4	133.673220661199	38.0819197180122	31.2375632696785	4.942064
20	"DEKAL"	"S0"	"AgrCons"	0	1	0	1	3	0	0	2	4	133.673220661199	38.0819197180122	31.2375632696785	4.942064
21	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
22	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
23	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
24	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
25	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
26	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
27	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
28	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
29	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
30	"DEKAL"	"S1"	"AgrCons"	0	1	0	1	3	2	0	2	4	159.11291905039	114.874797006594	31.2375632696785	5.096434
