# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"OTRAS"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	4	152.220934665278	103.809476455571	17.4436744884588	4.53477180952381
2	"P4082W"	"S0"	"AgrCons"	4	1	4	1	3	1	2	1	3	118.789657336976	35.4522456842847	16.9301058165729	4.49321
3	"P4082W"	"S0"	"AgrCons"	3	0	3	1	1	1	3	0	3	107.338831098257	1.80087222591043	35.0281601306051	4.26596971428572
4	"CRIOLLO"	"S1"	"AgrCons"	0	2	4	0	0	0	0	2	3	127.27334389206	159.451528096031	86.3879513810389	3.81702019047619
5	"CRIOLLO"	"S1"	"LabConvTra"	2	1	2	1	1	1	2	1	4	212.633344531152	166.973313610796	60.046652960591	3.61799585714286
6	"OTRAS"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	4	152.220934665278	103.809476455571	17.4436744884588	4.53477180952381
7	"OTRAS"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	4	152.220934665278	103.809476455571	17.4436744884588	4.53477180952381
8	"P4082W"	"S0"	"AgrCons"	2	1	4	0	3	1	2	0	3	152.220934665278	1.80087222591043	60.046652960591	4.55437171428571
9	"P4082W"	"S0"	"AgrCons"	2	1	4	0	3	1	2	0	3	152.220934665278	1.80087222591043	60.046652960591	4.55437171428571
10	"P4082W"	"S0"	"AgrCons"	2	1	4	0	3	1	2	0	3	152.220934665278	1.80087222591043	60.046652960591	4.55437171428571
11	"P4082W"	"S1"	"AgrCons"	2	0	4	0	3	1	1	1	3	152.220934665278	1.80087222591043	16.9301058165729	4.58583166666666
12	"P4082W"	"S1"	"AgrCons"	2	0	4	0	3	1	1	1	3	152.220934665278	1.80087222591043	16.9301058165729	4.58583166666666
13	"P4082W"	"S1"	"AgrCons"	2	0	4	0	3	1	1	1	3	152.220934665278	1.80087222591043	16.9301058165729	4.58583166666666
14	"P4082W"	"S1"	"AgrCons"	2	0	4	0	3	1	1	1	3	152.220934665278	1.80087222591043	16.9301058165729	4.58583166666666
15	"P4082W"	"S1"	"AgrCons"	2	0	4	0	3	1	1	1	3	152.220934665278	1.80087222591043	16.9301058165729	4.58583166666666
16	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
17	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
18	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
19	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
20	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
21	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
22	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
23	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
24	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
25	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
26	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	1	3	3	152.220934665278	103.809476455571	101.791732816491	5.00860138095238
27	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	0	3	3	152.220934665278	103.809476455571	59.670424181968	5.05411804761904
28	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	0	3	3	152.220934665278	103.809476455571	59.670424181968	5.05411804761904
29	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	0	3	3	152.220934665278	103.809476455571	59.670424181968	5.05411804761904
30	"P4082W"	"S1"	"AgrCons"	2	0	4	2	3	1	0	3	3	152.220934665278	103.809476455571	59.670424181968	5.05411804761904
