# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	1	2	1	0	4	208.213040575944	150.413215721925	128.714671789203	5.26227533333333
2	"CRIOLLO"	"S1"	"LabCeroMin"	0	0	0	1	2	0	2	1	2	232.971962751746	137.589948959863	83.2269333768636	3.94479197619048
3	"CRIOLLO"	"S1"	"AgrCons"	1	2	0	2	0	0	3	1	1	183.458816023171	23.2375289721182	65.6904565868899	3.808908
4	"CRIOLLO"	"S1"	"AgrCons"	2	1	3	1	3	0	1	1	3	35.7290379235242	148.253985480024	75.4277738858946	3.78385964285714
5	"CRIOLLO"	"S0"	"LabCeroMin"	2	2	1	1	2	2	1	2	0	117.617685945062	39.7817948435433	70.3714317292906	3.77391683333333
6	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	1	2	1	0	4	208.213040575944	150.413215721925	128.714671789203	5.26227533333333
7	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	2	0	3	0	2	208.213040575944	150.413215721925	128.714671789203	5.29453533333333
8	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	2	0	3	0	2	208.213040575944	150.413215721925	128.714671789203	5.29453533333333
9	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	2	0	3	0	2	208.213040575944	150.413215721925	128.714671789203	5.29453533333333
10	"DEKAL"	"S1"	"AgrCons"	0	1	3	2	2	0	3	0	2	208.213040575944	150.413215721925	128.714671789203	5.29453533333333
11	"P4082W"	"S1"	"AgrCons"	0	1	2	2	2	0	3	2	2	208.213040575944	150.413215721925	128.714671789203	5.296909
12	"P4082W"	"S1"	"AgrCons"	0	1	2	2	2	0	3	2	2	208.213040575944	150.413215721925	128.714671789203	5.296909
13	"P4082W"	"S1"	"AgrCons"	0	1	2	2	2	0	3	2	2	208.213040575944	150.413215721925	128.714671789203	5.296909
14	"P4082W"	"S1"	"AgrCons"	0	1	2	2	2	0	3	2	2	208.213040575944	150.413215721925	128.714671789203	5.296909
15	"P4082W"	"S1"	"AgrCons"	0	1	2	2	2	0	3	2	2	208.213040575944	150.413215721925	128.714671789203	5.296909
16	"P4082W"	"S1"	"AgrCons"	0	1	3	2	2	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.46649733333333
17	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
18	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
19	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
20	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
21	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
22	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
23	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
24	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
25	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
26	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
27	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
28	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
29	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
30	"DEKAL"	"S1"	"AgrCons"	0	2	3	2	3	0	3	2	4	208.213040575944	150.413215721925	128.714671789203	5.496941
