# GHS Optimization
# Hugo Andres Dorado, Reserach at CIAT and master student Unicauca

"iter"	"Cultivar"	"Seed_treatment"	"Tillage_type"	"Numb_weeding"	"Numb_postHarv_herb"	"Numb_rastreo"	"Numb_preSow_herb"	"Numb_fertilizations"	"Numb_applic_foliar"	"Numb_applic_biofer"	"Num_postSow_herb"	"Numb_insecticides"	"Total_nitrogen"	"Total_phosphorus"	"Total_potassium"	"fitness"
1	"OTRAS"	"S1"	"LabConvTra"	1	1	4	2	3	0	0	0	2	191.262301480528	47.7379894724488	94.2132139345631	5.32088499999999
2	"P4082W"	"S0"	"AgrCons"	0	1	1	2	1	2	2	2	1	175.32182892967	35.7540216829302	120.544815680478	5.21390066666666
3	"OTRAS"	"S0"	"LabConvTra"	4	1	1	2	3	1	1	1	1	213.194692676626	9.65318251152988	49.3472605012357	5.19655099999999
4	"CRIOLLO"	"S0"	"AgrCons"	4	1	0	1	3	1	0	1	4	14.0569156327937	153.890757231866	1.3040016638115	4.94431333333333
5	"CRIOLLO"	"S0"	"AgrCons"	2	1	0	0	1	0	2	3	4	242.526011015922	49.9259371301392	125.799246516544	4.449492
6	"OTRAS"	"S1"	"LabConvTra"	1	1	4	2	3	0	0	0	2	191.262301480528	47.7379894724488	94.2132139345631	5.32088499999999
7	"OTRAS"	"S1"	"LabConvTra"	1	1	4	2	3	0	0	0	2	191.262301480528	47.7379894724488	94.2132139345631	5.32088499999999
8	"OTRAS"	"S1"	"LabConvTra"	1	1	4	2	3	0	0	0	2	191.262301480528	47.7379894724488	94.2132139345631	5.32088499999999
9	"OTRAS"	"S1"	"LabConvTra"	1	1	4	2	3	0	0	0	2	191.262301480528	47.7379894724488	94.2132139345631	5.32088499999999
10	"P4082W"	"S1"	"LabConvTra"	1	1	2	2	3	0	0	0	4	191.262301480528	35.7540216829302	94.2132139345631	5.41489433333333
11	"P4082W"	"S1"	"LabConvTra"	1	1	2	2	3	0	0	0	4	191.262301480528	35.7540216829302	94.2132139345631	5.41489433333333
